date_collected,bag_number,sample_number,color,Morph,depth,Airbrush_Initials,Airbrush_Date,Airbrush_volume,Aliquot_Initials,Aliquot_Date,Wax_Dipping_Initials,Wax_Dipping_Date,Weight_Before,Weight_After,Difference,Surface_Area(cm),Sym_Count_Initials,Sym_Count_Date,Squares_Counted,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10,Average_per_Square,St_Dev_Per_Square,CV,Cells/mL,Cells/homogenate,Cells/cm2
8/24/22,1,AP01,WH,Apo,20,TL,12/14/22,12,TL,12/14/22,TL,12/15/22,0.9459,1.0594,0.1135,4.818941504,TL,12/15/22,4,3,2,1,3,3,5,2,1,1,1,0.55,0.3273268354,59.51397006,5500,66000,13695.95
8/24/22,2,AP02,WH,Mixed,20,TL,12/14/22,17.5,TL,12/14/22,TL,12/15/22,1.1403,1.2916,0.1513,5.871866295,TL,12/15/22,4,75,45,64,89,49,62,55,49,60,56,15.1,3.744042887,24.79498601,151000,2642500,450027.28
8/24/22,3,AP03,WH,Apo,19,TL,12/14/22,42.5,TL,12/14/22,TL,12/15/22,8.2422,9.1362,0.894,26.55988858,TL,12/15/22,4,1,4,4,2,0,2,0,0,3,2,0.45,0.421254504,93.612112,4500,191250,7200.71
8/24/22,4,AP04,BR,Sym,19,TL,12/14/22,37,TL,12/14/22,TL,12/15/22,2.0048,2.3922,0.3874,12.44846797,TL,12/15/22,4,72,95,58,69,82,75,74,78,,,18.84375,2.659005923,14.11081087,188437.5,6972187.5,560083.98
8/24/22,5,AP05,BR,Sym,21,TL,12/14/22,27,TL,12/14/22,TL,12/15/22,3.6092,4.085,0.4758,14.91086351,TL,12/15/22,2,185,233,142,144,149,137,172,191,171,204,86.4,16.49986472,19.09706565,864000,23328000,1564496.92
8/24/22,6,AP06,W/B,Mixed,23,TL,12/14/22,22,TL,12/14/22,TL,12/15/22,2.3101,2.7195,0.4094,13.06128134,TL,12/15/22,4,27,23,17,32,31,37,36,17,31,20,6.775,1.973032474,29.12225054,67750,1490500,114115.91
8/24/22,7,AP07,BR,Sym,23,TL,12/14/22,14,TL,12/14/22,TL,12/15/22,1.7703,2.0622,0.2919,9.788300836,TL,12/15/22,2,202,229,179,210,177,198,,,,,99.58333333,9.784767073,9.825707521,995833.3333,13941666.67,1424319.39
8/24/22,8,AP08,BR,Sym,23,TL,12/14/22,28,TL,12/14/22,TL,12/15/22,5.5791,6.0961,0.517,16.05849582,TL,12/15/22,2,216,229,211,230,218,208,,,,,109.3333333,4.557045827,4.16802972,1093333.333,30613333.33,1906363.69
8/24/22,9,AP09,WH,Apo,20,TL,12/14/22,38,TL,12/14/22,TL,12/15/22,6.2911,7.166,0.8749,26.02785515,TL,12/15/22,4,207,178,187,184,183,176,,,,,46.45833333,2.781261704,5.986572278,464583.3333,17654166.67,678279.73
8/24/22,10,AP10,BR,Sym,19,TL,12/14/22,20,TL,12/14/22,TL,12/15/22,5.2678,5.7229,0.4551,14.33426184,TL,12/15/22,2,128,86,113,136,92,136,142,79,136,130,58.9,12.59535062,21.38429646,589000,11780000,821807.23
8/24/22,11,AP11,WH,Apo,23,TL,12/14/22,20.5,TL,12/14/22,TL,12/15/22,8.106,8.8086,0.7026,21.22841226,TL,12/15/22,4,2,1,3,2,2,1,2,4,4,2,0.575,0.2477578022,43.08831343,5750,117875,5552.70
9/9/22,12,AP12,WH,Apo,47,TL,12/14/22,47,TL,12/14/22,TL,12/15/22,11.379,12.7894,1.4104,40.94428969,TL,12/15/22,4,0,2,1,2,1,2,2,1,4,1,0.4,0.1860059523,46.50148807,4000,188000,4591.60