well,colony_id
A1,BK
A2,BK
A3,D2-B4-100
A4,D2-B4-100
A5,D2-B3-103
A6,D2-B3-103
A7,S2-B2-104
A8,S2-B2-104
A9,S4-C2-105
A10,S4-C2-105
A11,G2-B1-106
A12,G2-B1-106
B1,D5-B1-108
B2,D5-B1-108
B3,G2-B3-109
B4,G2-B3-109
B5,D4-C4-110
B6,D4-C4-110
B7,D1-C3-114
B8,D1-C3-114
B9,G1-C1-118
B10,G1-C1-118
B11,S2-B1-120
B12,S2-B1-120
C1,D5-C2-121
C2,D5-C2-121
C3,S4-B1-122
C4,S4-B1-122
C5,G1-C3-125
C6,G1-C3-125
C7,G5-B1-127
C8,G5-B1-127
C9,D2-C3-128
C10,D2-C3-128
C11,S5-B4-133
C12,S5-B4-133
D1,G4-C4-134
D2,G4-C4-134
D3,D4-B1-137
D4,D4-B1-137
D5,S4-C4-141
D6,S4-C4-141
D7,D2-C4-145
D8,D2-C4-145
D9,S1-C3-146
D10,S1-C3-146
D11,S4-B4-147
D12,S4-B4-147
E1,S4-B2-149
E2,S4-B2-149
E3,S2-C2-150
E4,S2-C2-150
E5,G1-B2-152
E6,G1-B2-152
E7,G2-B2-153
E8,G2-B2-153
E9,G4-B3-155
E10,G4-B3-155
E11,S4-C1-156
E12,S4-C1-156
F1,G2-C2-157
F2,G2-C2-157
F3,S2-C1-158
F4,S2-C1-158
F5,G4-C1-162
F6,G4-C1-162
F7,D5-C3-168
F8,D5-C3-168
F9,S5-C2-169
F10,S5-C2-169
F11,S5-B1-171
F12,S5-B1-171
G1,G2-C3-172
G2,G2-C3-172
G3,S1-C1-173
G4,S1-C1-173
G5,S2-B4-178
G6,S2-B4-178
G7,D1-C2-184
G8,D1-C2-184
G9,D4-C3-185
G10,D4-C3-185
G11,G5-B2-186
G12,G5-B2-186
H1,S4-B3-192
H2,S4-B3-192
H3,NA
H4,NA
H5,NA
H6,NA
H7,NA
H8,NA
H9,NA
H10,NA
H11,NA
H12,NA