sample,spot,cage,sample_id,Apo_Sym,Date_Deployed,Date_Collected,Notes,Present_in_lab,6.30.23,7.5.23,7.12.23,7.19.23,8.1.23,8.9.23,8.14.23,8.23.23,8.28.23,9.6.23,9.13.23,9.20.23,9.29.23,10.3.23,10.10.23
183,A1,D1,D1-A1-183,?,,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
68,A2,D1,D1-A2-68,?,,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
8,A3,D1,D1-A3-8,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
131,A4,D1,D1-A4-131,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,dead,sick,healthy,sick,healthy,healthy,sick,healthy,healthy,healthy
226,B1,D1,D1-B1-226,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,empty-moved?,empty-moved?,empty-moved?,empty-moved?,empty,healthy
2,B2,D1,D1-B2-2,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
94,B3,D1,D1-B3-94,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,empty,sick,dead,dead,dead,dead,dead,dead,dead,healthy,dead,healthy,healthy
32,B4,D1,D1-B4-32,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
209,C1,D1,D1-C1-209,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
184,C2,D1,D1-C2-184,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
114,C3,D1,D1-C3-114,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
222,C4,D1,D1-C4-222,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
206,D1,D1,D1-D1-206,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
54,D2,D1,D1-D2-54,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy
95,D3,D1,D1-D3-95,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
NA,D4,D1,D1-D4-NA,NA,NA,NA,NA,NA,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,healthy,empty
79,A1,D2,D2-A1-79,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
225,A2,D2,D2-A2-225,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
188,A3,D2,D2-A3-188,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
139,A4,D2,D2-A4-139,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
91,B1,D2,D2-B1-91,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
30,B2,D2,D2-B2-30,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
103,B3,D2,D2-B3-103,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
100,B4,D2,D2-B4-100,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
36,C1,D2,D2-C1-36,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
15,C2,D2,D2-C2-15,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
128,C3,D2,D2-C3-128,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
145,C4,D2,D2-C4-145,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
196,D1,D2,D2-D1-196,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
194,D2,D2,D2-D2-194,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
23,D3,D2,D2-D3-23,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
5,D4,D2,D2-D4-5,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
161,A1,D4,D4-A1-161,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
60,A2,D4,D4-A2-60,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
10,A3,D4,D4-A3-10,APO,2023.06.21,NA,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,dead,dead,dead,dead,dead,dead,empty
163,A4,D4,D4-A4-163,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,sick,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy
137,B1,D4,D4-B1-137,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
71,B2,D4,D4-B2-71,APO,2023.06.23,NA,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,empty,healthy,empty,empty,empty,empty,empty
214,B3,D4,D4-B3-214,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
70,B4,D4,D4-B4-70,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
65,C1,D4,D4-C1-65,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
1,C2,D4,D4-C2-1,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
185,C3,D4,D4-C3-185,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
110,C4,D4,D4-C4-110,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
123,D1,D4,D4-D1-123,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
207,D2,D4,D4-D2-207,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
119,D3,D4,D4-D3-119,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
90,D4,D4,D4-D4-90,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
39,A1,D5,D5-A1-39,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
167,A2,D5,D5-A2-167,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
180,A3,D5,D5-A3-180,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
199,A4,D5,D5-A4-199,APO,2023.06.23,2023.10.10,,NA,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
108,B1,D5,D5-B1-108,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
11,B2,D5,D5-B2-11,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
64,B3,D5,D5-B3-64,APO,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
53,B4,D5,D5-B4-53,APO,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
7,C1,D5,D5-C1-7,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
121,C2,D5,D5-C2-121,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
168,C3,D5,D5-C3-168,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
217,C4,D5,D5-C4-217,SYM,2023.06.23,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
136,D1,D5,D5-D1-136,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick
87,D2,D5,D5-D2-87,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
166,D3,D5,D5-D3-166,SYM,2023.06.21,2023.10.10,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,dead,healthy,sick,healthy,healthy
NA,D4,D5,D5-D4-NA,NA,NA,NA,NA,NA,healthy,empty,empty,empty,empty,empty,empty,empty,empty,healthy,empty,empty,empty,empty,empty
176,A1,G1,G1-A1-176,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
124,A2,G1,G1-A2-124,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
190,A3,G1,G1-A3-190,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
126,A4,G1,G1-A4-126,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
26,B1,G1,G1-B1-26,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
152,B2,G1,G1-B2-152,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
24,B3,G1,G1-B3-24,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
170,B4,G1,G1-B4-170,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,dead,sick,healthy,sick,dead,dead,dead,dead
118,C1,G1,G1-C1-118,SYM,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy
50,C2,G1,G1-C2-50,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
125,C3,G1,G1-C3-125,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
231,C4,G1,G1-C4-231,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
22,D1,G1,G1-D1-22,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
13,D2,G1,G1-D2-13,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
82,D3,G1,G1-D3-82,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy
78,D4,G1,G1-D4-78,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
227,A1,G2,G2-A1-227,APO,2023.06.21,2023.10.09,,NA,healthy,dead,dead,dead,dead,dead,sick,dead,dead,dead,dead,dead,dead,dead,dead
73,A2,G2,G2-A2-73,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,dead,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
200,A3,G2,G2-A3-200,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
193,A4,G2,G2-A4-193,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,sick,healthy,sick,healthy,healthy,healthy
106,B1,G2,G2-B1-106,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,dead,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
153,B2,G2,G2-B2-153,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
109,B3,G2,G2-B3-109,APO,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
202,B4,G2,G2-B4-202,APO,2023.06.23,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
84,C1,G2,G2-C1-84,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
157,C2,G2,G2-C2-157,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
172,C3,G2,G2-C3-172,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
57,C4,G2,G2-C4-57,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
NA,D1,G2,G2-D1-NA,NA,NA,NA,NA,NA,empty,empty,empty,empty,empty,empty,empty,empty,empty,healthy,empty,empty,empty,empty,empty
203,D2,G2,G2-D2-203,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
177,D3,G2,G2-D3-177,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy
34,D4,G2,G2-D4-34,SYM,2023.06.21,2023.10.09,,NA,healthy,healthy,healthy,healthy,healthy,healthy,healthy,healthy,sick,healthy,healthy,healthy,healthy,healthy,sick
