sample_id,wax_dipping_inititals,wax_dipping_date,weight_before,weight_after,difference,surface_area
D4-C2-1,RMC,12/7/23,2.5747,2.9619,0.3872,12.44289694
D1-B2-2,RMC,12/7/23,1.3128,1.4904,0.1776,6.604456825
S5-B3-4,RMC,12/7/23,1.9909,2.252,0.2611,8.930362117
D2-D4-5,RMC,12/7/23,1.5004,1.8758,0.3754,12.11420613
G4-D1-6,RMC,12/7/23,3.273,3.6778,0.4048,12.93314763
D5-C1-7,RMC,12/7/23,3.3231,4.0628,0.7397,22.26183844
D1-A3-8,RMC,12/7/23,0.472,0.5797,0.1077,4.657381616
S1-B1-9,RMC,12/7/23,1.958,2.3726,0.4146,13.20612813
D5-B2-11,RMC,12/7/23,1.7207,1.9605,0.2398,8.337047354
G4-B4-12,RMC,12/7/23,1.6576,1.9361,0.2785,9.415041783
G1-D2-13,RMC,12/7/23,3.0558,3.5421,0.4863,15.20334262
G5-A4-14,RMC,12/7/23,0.7918,0.9315,0.1397,5.548746518
D2-C2-15,RMC,12/7/23,1.9148,2.1931,0.2783,9.409470752
G4-B1-17,RMC,12/7/23,5.1701,6.146,0.9759,28.84122563
S1-B3-18,RMC,12/7/23,1.5469,1.7822,0.2353,8.211699164
G5-B3-19,RMC,12/7/23,3.7366,4.2587,0.5221,16.2005571
G1-D1-22,RMC,12/7/23,3.2108,3.691,0.4802,15.03342618
D2-D3-23,RMC,12/7/23,0.9016,1.0431,0.1415,5.598885794
G1-B3-24,RMC,12/7/23,1.1694,1.3616,0.1922,7.011142061
G5-D3-25,RMC,12/7/23,1.492,1.7067,0.2147,7.637883008
G1-B1-26,RMC,12/7/23,0.6001,0.7054,0.1053,4.590529248
S1-A2-29,RMC,12/7/23,2.5469,3.0198,0.4729,14.83008357
D2-B2-30,RMC,12/7/23,2.4047,2.6583,0.2536,8.721448468
S5-A4-31,RMC,12/7/23,2.0135,2.3569,0.3434,11.22284123
D1-B4-32,RMC,12/7/23,1.0621,1.1678,0.1057,4.601671309
G5-D2-33,RMC,12/7/23,1.2425,1.5989,0.3564,11.58495822
G2-D4-34,RMC,12/7/23,0.9527,1.1261,0.1734,6.487465181
D2-C1-36,RMC,12/7/23,1.8194,2.1877,0.3683,11.91643454
D5-A1-39,RMC,12/7/23,3.0335,3.5957,0.5622,17.31754875
G4-D4-40,RMC,12/7/23,2.0797,2.291,0.2113,7.543175487
G5-C4-41,RMC,12/7/23,2.5394,2.9494,0.41,13.07799443
G4-C2-42,RMC,12/7/23,1.9703,2.2945,0.3242,10.68802228
S4-A2-43,RMC,12/7/23,1.6991,1.9451,0.246,8.509749304
S2-A2-44,RMC,12/7/23,1.2572,1.3839,0.1267,5.186629526
S5-C3-45,RMC,12/7/23,2.7043,3.2322,0.5279,16.36211699
S4-C3-47,RMC,12/7/23,2.5042,2.7765,0.2723,9.242339833
G5-C1-49,RMC,12/7/23,3.9361,4.8112,0.8751,26.03342618
G1-C2-50,RMC,12/7/23,1.6035,1.93,0.3265,10.75208914
D5-B4-53,RMC,12/7/23,3.2517,3.8268,0.5751,17.67688022
D1-D2-54,RMC,12/7/23,0.5995,0.7584,0.1589,6.08356546
S1-D4-55,RMC,12/7/23,4.5999,5.0918,0.4919,15.35933148
G5-C3-56,RMC,12/7/23,1.897,2.2051,0.3081,10.23955432
G2-C4-57,RMC,12/7/23,1.825,2.1156,0.2906,9.752089136
D4-A2-60,RMC,12/7/23,1.1181,1.3359,0.2178,7.724233983
S1-D1-61,RMC,12/7/23,1.9646,7.3182,5.3536,150.7827298
S2-A3-62,RMC,12/7/23,0.905,1.0246,0.1196,4.988857939
S5-B2-63,RMC,12/7/23,1.3021,1.4915,0.1894,6.933147632
D5-B3-64,RMC,12/7/23,2.2344,2.5742,0.3398,11.12256267
D4-C1-65,RMC,12/7/23,2.1685,2.6195,0.451,14.22005571
G5-B4-67,RMC,12/7/23,2.5703,2.8799,0.3096,10.28133705
D1-A2-68,RMC,12/7/23,2.3254,2.801,0.4756,14.90529248
D4-B4-70,RMC,12/7/23,1.9071,2.3344,0.4273,13.55988858
G4-C3-72,RMC,12/7/23,1.7443,1.9423,0.198,7.17270195
G2-A2-73,RMC,12/7/23,2.1532,2.4223,0.2691,9.153203343
S5-C1-74,RMC,12/7/23,0.6819,0.8242,0.1423,5.621169916
G1-D4-78,RMC,12/7/23,4.2064,4.8493,0.6429,19.56545961
D2-A1-79,RMC,12/7/23,3.057,3.4775,0.4205,13.37047354
S2-D2-81,RMC,12/7/23,4.9484,5.7406,0.7922,23.72423398
G1-D3-82,RMC,12/7/23,2.904,3.2602,0.3562,11.57938719
S5-A1-83,RMC,12/7/23,0.8164,1.0258,0.2094,7.490250696
G2-C1-84,RMC,12/7/23,0.9998,1.1736,0.1738,6.498607242
S2-C3-86,RMC,12/7/23,1.4321,1.628,0.1959,7.114206128
D5-D2-87,RMC,12/7/23,2.5016,3.0622,0.5606,17.2729805
S5-D2-88,RMC,12/7/23,3.1353,3.705,0.5697,17.5264624
S1-A1-89,RMC,12/7/23,2.5388,2.9595,0.4207,13.37604457
D4-D4-90,RMC,12/7/23,1.4517,1.7132,0.2615,8.941504178
D2-B1-91,RMC,12/7/23,0.7386,0.8667,0.1281,5.225626741
D1-D3-95,RMC,12/7/23,2.4103,2.8132,0.4029,12.88022284
S1-D2-96,RMC,12/7/23,1.908,2.163,0.255,8.760445682
S2-C4-97,RMC,12/7/23,1.0855,1.2479,0.1624,6.181058496
G5-D1-99,RMC,12/7/23,0.8313,0.9901,0.1588,6.080779944
D2-B4-100,RMC,12/7/23,1.8723,2.134,0.2617,8.947075209
S2-D4-102,RMC,12/7/23,3.8798,4.5716,0.6918,20.9275766
D2-B3-103,RMC,12/7/23,1.3686,1.6005,0.2319,8.116991643
S2-B2-104,RMC,12/7/23,2.7505,3.169,0.4185,13.31476323
S4-C2-105,RMC,12/7/23,1.5948,1.8261,0.2313,8.100278552
G2-B1-106,RMC,12/7/23,1.0387,1.1835,0.1448,5.690807799
G5-A1-107,RMC,12/7/23,0.5894,0.7135,0.1241,5.114206128
D5-B1-108,RMC,12/7/23,5.7341,6.4501,0.716,21.60167131
G2-B3-109,RMC,12/7/23,0.9922,1.1555,0.1633,6.206128134
D4-C4-110,RMC,12/7/23,2.4046,2.8002,0.3956,12.67688022
D1-C3-114,RMC,12/7/23,1.676,1.9859,0.3099,10.28969359
S1-A4-116,RMC,12/7/23,0.631,0.8892,0.2582,8.849582173
G5-A3-117,RMC,12/7/23,0.9178,1.0651,0.1473,5.760445682
G1-C1-118,RMC,12/7/23,1.2108,1.3851,0.1743,6.512534819
D4-D3-119,RMC,12/7/23,4.582,5.2266,0.6446,19.61281337
S2-B1-120,RMC,12/7/23,2.021,2.4448,0.4238,13.46239554
D5-C2-121,RMC,12/7/23,2.8317,3.1799,0.3482,11.35654596
S4-B1-122,RMC,12/7/23,2.3183,2.7039,0.3856,12.39832869
D4-D1-123,RMC,12/7/23,1.607,1.8678,0.2608,8.922005571
G1-A2-124,RMC,12/7/23,2.5433,2.9104,0.3671,11.88300836
G1-C3-125,RMC,12/7/23,1.9046,2.1998,0.2952,9.880222841
G1-A4-126,RMC,12/7/23,1.0078,1.146,0.1382,5.506963788
G5-B1-127,RMC,12/7/23,4.7278,5.3377,0.6099,18.64623955
D2-C3-128,RMC,12/7/23,1.8869,2.3039,0.417,13.2729805
D1-A4-131,RMC,12/7/23,1.904,2.234,0.33,10.84958217
S4-D4-132,RMC,12/7/23,2.9874,3.4421,0.4547,14.32311978
S5-B4-133,RMC,12/7/23,2.4991,2.9218,0.4227,13.43175487
G4-C4-134,RMC,12/7/23,1.3771,1.7201,0.343,11.21169916
D5-D1-136,RMC,12/7/23,1.4428,1.7475,0.3047,10.1448468
D4-B1-137,RMC,12/7/23,2.8262,3.3685,0.5423,16.7632312
G4-D3-138,RMC,12/7/23,3.653,4.4973,0.8443,25.17548747
D2-A4-139,RMC,12/7/23,1.2573,1.4899,0.2326,8.136490251
S4-C4-141,RMC,12/7/23,0.9336,1.0983,0.1647,6.245125348
S4-D1-142,RMC,12/7/23,1.0198,1.2886,0.2688,9.144846797
S4-D3-143,RMC,12/7/23,1.7163,2.0059,0.2896,9.724233983
D2-C4-145,RMC,12/7/23,0.7244,0.8997,0.1753,6.540389972
S1-C3-146,RMC,12/7/23,6.4992,7.5087,1.0095,29.77715877
S4-B4-147,RMC,12/7/23,1.1627,1.3913,0.2286,8.025069638
S4-B2-149,RMC,12/7/23,5.7697,6.4056,0.6359,19.37047354
S2-C2-150,RMC,12/7/23,1.5903,1.9083,0.318,10.51532033
G4-A4-151,RMC,12/7/23,1.5804,1.8661,0.2857,9.615598886
G1-B2-152,RMC,12/7/23,3.243,3.7325,0.4895,15.29247911
G2-B2-153,RMC,12/7/23,2.1723,2.5035,0.3312,10.88300836
G4-A1-154,RMC,12/7/23,1.2137,1.3909,0.1772,6.593314763
G4-B3-155,RMC,12/7/23,1.5783,1.9449,0.3666,11.86908078
S4-C1-156,RMC,12/7/23,5.5384,6.0065,0.4681,14.69637883
G2-C2-157,RMC,12/7/23,2.2441,2.5546,0.3105,10.30640669
S2-C1-158,RMC,12/7/23,3.2582,3.9511,0.6929,20.95821727
S2-A1-160,RMC,12/7/23,0.7898,0.9409,0.1511,5.866295265
D4-A1-161,RMC,12/7/23,4.4899,5.1052,0.6153,18.79665738
G4-C1-162,RMC,12/7/23,4.6273,5.2027,0.5754,17.68523677
D4-A4-163,RMC,12/7/23,5.6401,6.4922,0.8521,25.39275766
D5-D3-166,RMC,12/7/23,1.2308,1.4205,0.1897,6.941504178
D5-A2-167,RMC,12/7/23,1.2771,1.6421,0.365,11.82451253
D5-C3-168,RMC,12/7/23,2.0028,2.3799,0.3771,12.16155989
S5-C2-169,RMC,12/7/23,1.8332,2.3396,0.5064,15.7632312
S5-B1-171,RMC,12/7/23,0.7957,0.9621,0.1664,6.292479109
G2-C3-172,RMC,12/7/23,0.9544,1.1095,0.1551,5.977715877
S1-C1-173,RMC,12/7/23,2.2383,2.4876,0.2493,8.601671309
S2-D3-174,RMC,12/7/23,2.3028,2.7072,0.4044,12.92200557
G1-A1-176,RMC,12/7/23,3.2237,3.6567,0.433,13.71866295
G2-D3-177,RMC,12/7/23,2.6338,3.0018,0.368,11.90807799
S2-B4-178,RMC,12/7/23,0.6167,0.7574,0.1407,5.576601671
S5-D4-179,RMC,12/7/23,2.7245,3.2823,0.5578,17.19498607
S4-D2-181,RMC,12/7/23,4.0508,4.5646,0.5138,15.96935933
S4-A3-182,RMC,12/7/23,3.6412,4.086,0.4448,14.04735376
D1-A1-183,RMC,12/7/23,0.9354,1.161,0.2256,7.941504178
D1-C2-184,RMC,12/7/23,0.9994,1.1706,0.1712,6.426183844
D4-C3-185,RMC,12/7/23,1.6458,1.9487,0.3029,10.09470752
G5-B2-186,RMC,12/7/23,2.332,2.6441,0.3121,10.35097493
S5-D3-187,RMC,12/7/23,3.0356,3.6673,0.6317,19.25348189
D2-A3-188,RMC,12/7/23,1.1292,1.3069,0.1777,6.60724234
G4-D2-189,RMC,12/7/23,2.2076,2.5219,0.3143,10.41225627
G1-A3-190,RMC,12/7/23,1.3487,1.7152,0.3665,11.86629526
S4-B3-192,RMC,12/7/23,4.218,4.6828,0.4648,14.60445682
G2-A4-193,RMC,12/7/23,0.7673,0.8821,0.1148,4.855153203
D2-D2-194,RMC,12/7/23,2.5633,2.9556,0.3923,12.58495822
S2-D1-195,RMC,12/7/23,1.5347,1.7663,0.2316,8.108635097
D2-D1-196,RMC,12/7/23,1.1497,1.494,0.3443,11.24791086
S4-A1-198,RMC,12/7/23,0.8881,1.0375,0.1494,5.818941504
D5-A4-199,RMC,12/7/23,1.7454,2.1079,0.3625,11.75487465
G2-A3-200,RMC,12/7/23,8.5524,9.2429,0.6905,20.8913649
S5-D1-201,RMC,12/7/23,1.2194,1.5019,0.2825,9.526462396
G2-B4-202,RMC,12/7/23,1.4024,1.6021,0.1997,7.22005571
G2-D2-203,RMC,12/7/23,1.9112,2.3828,0.4716,14.79387187
D1-D1-206,RMC,12/7/23,0.8895,1.0466,0.1571,6.033426184
D4-D2-207,RMC,12/7/23,2.5421,3.0234,0.4813,15.06406685
S1-B4-208,RMC,12/7/23,0.8677,1.1127,0.245,8.48189415
D1-C1-209,RMC,12/7/23,1.5777,1.9,0.3223,10.63509749
S1-A3-210,RMC,12/7/23,2.7437,3.2094,0.4657,14.62952646
S1-C4-211,RMC,12/7/23,0.9353,1.078,0.1427,5.632311978
S5-C4-213,RMC,12/7/23,2.0378,2.4945,0.4567,14.37883008
D4-B3-214,RMC,12/7/23,2.5232,2.9921,0.4689,14.71866295
G4-A3-216,RMC,12/7/23,1.7932,2.1436,0.3504,11.4178273
D5-C4-217,RMC,12/7/23,1.6912,1.9574,0.2662,9.072423398
S1-D3-219,RMC,12/7/23,9.175,10.2974,1.1224,32.92200557
G5-A2-220,RMC,12/7/23,1.3318,1.5058,0.174,6.504178273
G5-C2-221,RMC,12/7/23,1.3491,1.8832,0.5341,16.53481894
D1-C4-222,RMC,12/7/23,1.8023,2.0583,0.256,8.788300836
S1-B2-224,RMC,12/7/23,2.8579,3.3773,0.5194,16.12534819
D2-A2-225,RMC,12/7/23,1.5341,1.8767,0.3426,11.2005571
D1-B1-226,RMC,12/7/23,1.0934,1.2898,0.1964,7.128133705
S2-A4-230,RMC,12/7/23,1.1327,1.3447,0.212,7.562674095
G1-C4-231,RMC,12/7/23,4.195,4.6693,0.4743,14.86908078
G4-B2-232,RMC,12/7/23,2.1869,2.6207,0.4338,13.74094708
S1-C2-233,RMC,12/7/23,2.7928,3.3478,0.555,17.11699164